Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,1.0,1,,,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Étore Funchal de Faria (N/A),PJ,,Itaipu Binacional,,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,1.0,,,5.0,6,,,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,N/D (N/A),PJ,"Em uma das contribuições, foi atribuído pela Agência no campo aproveitamento ""não se aplica"", nesse caso, foi considerado para fins da análise ""N/A""",AESA (Agência de Gestão das Águas da Paraíba),,Estadual,Entidade do poder executivo
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,,10,7.0,3.0,Não,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,6.0,10,1.0,3.0,N/C,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Francisco Rodrigues Andriolo (N/A),N/C,Não é possível caracterizar o participante em função da informação apresentada.,SESB,N/C,N/C,N/C
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,1.0,,,1.0,2,,,Não,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Wilson Teixeira Moreira (N/A),PJ,"Em uma das contribuições constava como justificativa do aproveitamento ""em branco"", foi considerado para fins da análise como ""N/A"".",Wilson Teixeira Consultoria Ltda.,,,Consultoria
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,1.0,1,,,Sim,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Dimas de Mello (N/A),PJ,,UFMT (Universidade Federal do Mato Grosso),,,Instituição de ensino e pesquisa
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,1.0,1,,,N/D,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Manoel Freitas (N/A),N/D,,N/D,N/D,N/D,N/D
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,2.0,2,,,Sim,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Joran Tenório da Silva (N/A),PJ,,CHESF (Companhia Hidrelétrica do São Francisco),,,Companhia de desenvolvimento
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,2.0,3,1.0,,Sim,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Fernando Setembrino Cruz Meirelles (N/A),PJ,,UFRGS (Instituto de Pesquisas Hidráulicas da Universidade Federal do Rio Grande do Sul),,,Instituição de ensino e pesquisa
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,7.0,10,1.0,2.0,Sim,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,João Miguel Nicolau Neto (N/A); Wong Sui Tung (N/A); Doralice Lemos (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,4.0,12,3.0,5.0,Não,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Selmo Kuperman (N/A),PJ,,DESEK Ltda,,,Obras e infraestrutura
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,,2,1.0,1.0,Sim,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Carlos Henrique Medeiros (N/A),PJ,,CERB (Companhia de Engenharia Ambiental),,Estadual,Entidade do poder executivo
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,1.0,,,5.0,13,2.0,5.0,Não,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Flávio Antônio Neiva (N/A),PJ,"Em uma das contribuições constava como justificativa do aproveitamento ""em branco"", foi considerado para fins da análise como ""N/A"".",ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,1.0,1,,,Não,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Eliane Teixeira Alves Portela (N/A),PJ,,LNEC (Laboratório Nacional de Engenharia Civil),,,Instituição de ensino e pesquisa
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=33,,,,1.0,1,,,Não,ANA_2011_Audiência Pública nº 003/2011_3,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Erton Carvalho (N/A),PJ,,CBDB (Comitê Brasileiro de Barragens),,,Instituição de ensino e/ou pesquisa
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,2.0,,,,2,,,Não,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=34,,,,,Wilson Teixeira Moreira (N/A),PJ,"Em duas contribuições constava como justificativa do aproveitamento ""em branco"", para fins da análise foi considerada como ""N/A"".",Wilson Teixeira Consultoria Ltda.,,,Consultoria
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,,,,5.0,7,,2.0,Sim,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=34,,,,,Emilio de Souza Santos (N/A),PJ,,CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,,,,3.0,3,,,Sim,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=34,,,,,Paula Luciana Divino (N/A),PJ,Constava na resposta da Agência: Não Recomendado pelo GT.,CEMIG (Companhia Energética de Minas Gerais S.A.),,,Hidrelétrica
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,,,,3.0,8,,5.0,Não,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=33,,,,,Flávio Antônio Neiva (N/A),PJ,"A ABRAGE usou o espaço do formulário apenas para anexar documento com rol de contribuições que foram inseridas posteriormente por formulário de forma individualizada. Uma das contribuições que tiveram ""Sim"" como aproveitamento, estava escrito na justificativa: Incluídas como contribuiçoes nº 16-22",ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,1.0,,,12.0,14,,1.0,Não,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=34,,,,,Thiago Modesto de Abreu (N/A),PJ,"Em uma das contribuições, foi atribuído pela Agência no campo aproveitamento ""em branco"", para fins da análise foi considerada como ""N/A"".",Brasil PCH,,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=34,,,,3.0,21,18.0,,Não,ANA_2012_Audiência Pública nº 001/2012_4,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=34,,,,,Henrique Licini Rocha (N/A),PJ,,Fractal Engenharia,,,Obras e infraestrutura
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=35,1.0,,,,1,,,Sim,ANA_2012_Audiência Pública nº 002/2012_5,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=35,,,,,José Eduardo Campos (N/A),PJ,"Em uma das contribuições constava como justificativa do aproveitamento ""em branco"", foi considerado para fins da análise como ""N/A"".",DAEE (Departamento de Águas e Energia Elétrica),,Estadual,Entidade do poder executivo
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=35,,,,4.0,7,,3.0,Sim,ANA_2012_Audiência Pública nº 002/2012_5,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=35,,,,,Claudio Pereira (N/A),PJ,"Dos três ""sim"" considerados no banco de dados, dois deles se referiam a: ""Alteração acatada de forma diferente de modo a dar maior clareza ao texto"".",ANA (Agência Nacional de Águas),,,Própria Agência
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=35,,,,1.0,1,,,Não,ANA_2012_Audiência Pública nº 002/2012_5,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=35,,,,,Luciana Martins Menegatto (N/A),PJ,,Duke Energy International,,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=35,,,,,2,,2.0,Sim,ANA_2012_Audiência Pública nº 002/2012_5,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=35,,,,,Guilherme Xavier de Miranda Junior (N/A),PJ,"Nos dois ""sim"" a Agência atribuiu o aproveitamento como: ""Alteração aceita de forma diferente"".",EPAGRI/CIRAM (Centro de Informações de Recursos Ambientais e Hidrometeorologia de Santa Catarina),,Estadual,Entidade do poder executivo
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=35,,,,3.0,3,,,Não,ANA_2012_Audiência Pública nº 002/2012_5,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=35,,,,,Flavio Henrique da Costa Bolzan (N/A),PF,,Profissional Autônomo,,,Indivíduo interessado
Outros,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,1.0,1,,,Não,ANA_2012_Audiência Pública 003/2012_6,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,Wilson Teixeira Moreira (N/A),PJ,,Wilson Teixeira Consultoria Ltda.,,,Consultoria
Outros,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,1.0,,,,1,,,Não,ANA_2012_Audiência Pública 003/2012_6,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,Luciane Cristina Menegaz (N/A),PJ,"Em uma das contribuições constava como justificativa do aproveitamento ""em branco"", foi considerado para fins da análise como ""N/A"".",AJES (Faculdade do Vale do Juruena),,,Instituição de ensino e pesquisa
Outros,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,2,1.0,1.0,Não,ANA_2012_Audiência Pública 003/2012_6,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,Edmundo Picasso Prado (N/A),PJ,,Pastoral Ecologia - São Paulo,,,Organização religiosa
Agente econômico regulado,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,2.0,5,1.0,2.0,Sim,ANA_2012_Audiência Pública 003/2012_6,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,Emílio de Souza Santos (N/A),PJ,,CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
Agente econômico regulado,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,3.0,6,1.0,2.0,Sim,ANA_2012_Audiência Pública 003/2012_6,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=36,,,,,Laurindo de Alencar Florentino (N/A); Giordan Rodrigues Lima (N/A),PJ,,CAGEPA (Companhia de Água e Esgotos da Paraíba),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,,1,,1.0,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Bruno Neves (N/A),PJ,,Light,,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,3.0,3,,,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Felipe Ferreira de Araújo (N/A),PJ,,FURNAS (Furnas Centrais Elétricas S.A),,,Hidrelétrica
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,1.0,1,,,N/C,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Diego Henrique Rocha e Silva (N/A),N/C,,Eng. Ambiental,N/C,N/C,N/C
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,2.0,2,,,N/C,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Pedro Guilherme de Lara (N/A),N/C,,Shaw Brasil,N/C,N/C,N/C
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,1.0,1,,,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Maurício Dziedzic (N/A),PJ,,Universidade Positivo,,,Instituição de ensino e pesquisa
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,,1,,1.0,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Guilherme Rocha Peplau (N/A),PJ,,CHESF (Companhia Hidrelétrica do São Francisco),,,Companhia de desenvolvimento
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,1.0,2,1.0,,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Marcos Elias (N/A); Sérgio Costa (N/A),PJ,"Trata-se da mesma empresa, com representação distinta nos diferentes países.",RECOL (Brasil) / AQUALOGUS (Portugal),,,Obras e infraestrutura
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,4.0,5,,1.0,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Wong Sui Tung (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,10.0,14,,4.0,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,,PJ,,COGERH (Companhia de Gestão dos Recursos Hídricos do Ceará),,Estadual,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,1.0,3,2.0,,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Diego Balbi (N/A),PJ,,CEMIG (Companhia Energética de Minas Gerais S.A.),,,Hidrelétrica
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,7.0,15,4.0,4.0,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,5.0,7,1.0,1.0,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Maria da Graça Maia Lopes (N/A),PJ,"Houve nesse caso uma duplicidade. A Agência atribuiu o aproveitamento da duplicidade como ""Não considerada"", para fins da análise foi considerado como contribuição não aceita.",CERB (Companhia de Engenharia Ambiental),,Estadual,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,3.0,3,,,Sim,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Emilio de Souza Santos (N/A),PJ,,CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,,9.0,19,4.0,6.0,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Lucas Samuel Santos Brasil (N/A),PJ,,Pimenta de Ávila Consultoria Ltda,,,Consultoria
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=37,,,1.0,16.0,27,6.0,4.0,Não,ANA_2013_Audiência Pública nº 001/2013_7,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=37,,,,,Ruben J R Cardia (N/A),PJ,"Em uma das contribuições constava como justificativa do aproveitamento ""em branco"", foi considerado para fins da análise como ""N/A"".",RJC Engenharia,,,Obras e infraestrutura
Outros,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,8.0,9,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_8,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Ricardo Guterman (N/A); Marcelo Aversa (N/A),PJ,Duas contribuições orais com PFs vinculadas e 7 contribuições por escrito.,Coletivo Luta pela Água,,,Organização de defesa de direitos
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,1.0,,1,,,Não,ANA_2014_Audiência Pública nº 001/2014_8,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,N/D,,"A justificativa sobre o aceite da contribuição foi deixado em branco pela Agência, foi atribuído para fins da análise ""N/D"".",Consórcio PCJ,,,Entidade formuladora de política
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_8,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Hélio Luiz Castro (N/A),PJ,Contribuições orais.,ARSESP (Agência Reguladora de Saneamento e Energia do Estado de São Paulo),,Estadual,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,5.0,6,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_8,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Hélio Rubens Figueiredo (N/A),PJ,"Contribuições orais, por meio de PF vinculada e contribuições por escrito.",SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Entidade Representativa,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Alexandre Vilela (N/A),PJ,,FIESP (Federação das Indústrias do Estado de São Paulo),,,Indústria
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,3,3.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Andreia Borges (N/A); Murilo Ferreora de Sant'Anna (N/A); José Cesar Saad (N/A),,,Consórcio PCJ,,,Entidade formuladora de política
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Cristina Saraiva (N/A),,,COMDEMA Piracaia (Conselho Municipal de Defesa do Meio Ambiente),,,Entidade formuladora de política
Agente econômico regulado,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Fabiane Santiago (N/A),PJ,,SAAE Atibaia (Saneamento Ambiental Atibaia),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,2,2.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Ivan Carneiro (N/A); Rodrigo Sanches Garcia (N/A),PJ,,MP (Ministério Público),,,Ministério Público
